timestamp,original_comment,processed_comment,sentiment_score,subjectivity_score,sentiment_category,word_count
2024-11-14 17:14:34,"Watch the Song Break Down For 'Soft Spot' Here - https://www.youtube.com/watch?v=jQLJFicS4m4&t=2287s
Watch the 'Soft Spot' Original Music Video Here - https://www.youtube.com/watch?v=LKKrnjfH3nQ",watch song break soft spot httpswwwyoutubecomwatchvjqljficsmts watch soft spot original music video httpswwwyoutubecomwatchvlkkrnjfhnq,0.1048611111111111,0.43472222222222223,Positive,13
2024-11-14 17:14:34,"This video was amazing, learned a lot.",video amazing learned lot,0.6000000000000001,0.9,Positive,4
2024-11-14 17:14:34,"Great job, this video was very useful!",great job video useful,0.64375,0.375,Positive,4
2024-11-14 17:14:34,"Awesome video, looking forward to the next one!",awesome video looking forward next one,0.5,0.5,Positive,6
2024-11-14 17:14:34,"Great job, this video was very useful!",great job video useful,0.64375,0.375,Positive,4
2024-11-14 17:14:34,"Loved this video, keep up the great work!",loved video keep great work,0.85,0.775,Positive,5
2024-11-14 17:14:34,Thank you for the great content!,thank great content,1.0,0.75,Positive,3
2024-11-14 17:14:34,"Fantastic explanation, thank you!",fantastic explanation thank,0.5,0.9,Positive,3
2024-11-14 17:14:34,Amazing content as always!,amazing content always,0.7500000000000001,0.9,Positive,3
2024-11-14 17:14:34,"Thanks for sharing this, learned a lot.",thanks sharing learned lot,0.2,0.2,Positive,4
2024-11-14 17:14:34,"Thank you for this video, very enlightening!",thank video enlightening,0.48750000000000004,0.52,Positive,3
2024-11-14 17:14:34,"This video was amazing, learned a lot.",video amazing learned lot,0.6000000000000001,0.9,Positive,4
2024-11-14 17:14:34,"Thanks for sharing this, learned a lot.",thanks sharing learned lot,0.2,0.2,Positive,4
2024-11-14 17:14:34,"Loved the content, keep it coming!",loved content keep coming,0.875,0.8,Positive,4
2024-11-14 17:14:34,"Your videos are always so helpful, thank you!",video always helpful thank,0.0,0.0,Neutral,4
2024-11-14 17:14:34,"I clicked on this at random, and this music wasn't meant to be this amazing. This is making me jump out of my chair. Please stop creating such amazing music; I can't stop listening to it. I'm getting a soft spot.",clicked random music wasnt meant amazing making jump chair please stop creating amazing music cant stop listening im getting soft spot,0.16000000000000003,0.63,Positive,21
2024-11-14 17:14:34,"Thanks for sharing this, learned a lot.",thanks sharing learned lot,0.2,0.2,Positive,4
2024-11-14 17:14:34,"Fantastic explanation, thank you!",fantastic explanation thank,0.5,0.9,Positive,3
2024-11-14 17:14:34,Thank you for the great content!,thank great content,1.0,0.75,Positive,3
2024-11-14 17:14:34,"Very well done, appreciate this video!",well done appreciate video,0.25,0.3,Positive,4
2024-11-14 17:14:34,Amazing content as always!,amazing content always,0.7500000000000001,0.9,Positive,3
2024-11-14 17:14:34,"Great job, this video was very useful!",great job video useful,0.64375,0.375,Positive,4
2024-11-14 17:14:34,"Fantastic explanation, thank you!",fantastic explanation thank,0.5,0.9,Positive,3
2024-11-14 17:14:34,Really appreciate the insights in this video.,really appreciate insight video,0.2,0.2,Positive,4
2024-11-14 17:14:34,"Fantastic video, really appreciate your effort!",fantastic video really appreciate effort,0.325,0.55,Positive,5
2024-11-14 17:14:34,Amazing content as always!,amazing content always,0.7500000000000001,0.9,Positive,3
2024-11-14 17:14:34,"This was exactly what I needed, thanks!",exactly needed thanks,0.25,0.225,Positive,3
2024-11-14 17:14:34,"Your videos are always so helpful, thank you!",video always helpful thank,0.0,0.0,Neutral,4
2024-11-14 17:14:34,"Great tips, thanks for sharing!",great tip thanks sharing,0.525,0.475,Positive,4
2024-11-14 17:14:34,"Thanks for sharing this, learned a lot.",thanks sharing learned lot,0.2,0.2,Positive,4
2024-11-14 17:14:34,Great video! Really enjoyed it.,great video really enjoyed,0.75,0.725,Positive,4
2024-11-14 17:14:34,Thank you for the great content!,thank great content,1.0,0.75,Positive,3
